data_id,student_ref,student_weakness,ques1_ref,ques1_time_taken,ques1_correctness,ques1_previous_weaknesses,ques1_possible_weaknesses,ques2_ref,ques2_time_taken,ques2_correctness,ques2_previous_weaknesses,ques2_possible_weaknesses,ques3_ref,ques3_time_taken,ques3_correctness,ques3_previous_weaknesses,ques3_possible_weaknesses,ques4_ref,ques4_time_taken,ques4_correctness,ques4_previous_weaknesses,ques4_possible_weaknesses,ques5_ref,ques5_time_taken,ques5_correctness,ques5_previous_weaknesses,ques5_possible_weaknesses,ques6_ref,ques6_time_taken,ques6_correctness,ques6_previous_weaknesses,ques6_possible_weaknesses,ques7_ref,ques7_time_taken,ques7_correctness,ques7_previous_weaknesses,ques7_possible_weaknesses,ques8_ref,ques8_time_taken,ques8_correctness,ques8_previous_weaknesses,ques8_possible_weaknesses,ques9_ref,ques9_time_taken,ques9_correctness,ques9_previous_weaknesses,ques9_possible_weaknesses,ques10_ref,ques10_time_taken,ques10_correctness,ques10_previous_weaknesses,ques10_possible_weaknesses
Student_0_0,Student_0,"['001_03_05', '001_03_02', '001_01_02', '001_01_03', '001_02_07', '001_02_02', '001_03_06', '001_02_04', '001_02_05', '001_03_01', '001_02_09', '001_01_05', '001_01_07', '001_01_04', '001_03_04', '001_01_06', '001_02_08', '001_02_03']",2,113070,False,[],"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07']",14,116516,False,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07']","['001_02_07', '001_01_04', '001_02_08', '001_01_07']",12,63664,False,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08']","['001_03_06', '001_01_04', '001_02_09', '001_01_07']",15,49022,True,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08', '001_03_06', '001_02_09']",[],4,106502,False,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08', '001_03_06', '001_02_09']","['001_02_03', '001_02_04', '001_01_04', '001_02_09', '001_01_07']",7,24588,False,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08', '001_03_06', '001_02_09', '001_02_03']","['001_03_05', '001_01_04', '001_01_06', '001_01_07']",5,39989,False,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08', '001_03_06', '001_02_09', '001_02_03', '001_03_05']","['001_03_04', '001_02_05', '001_03_01', '001_01_07']",8,100469,False,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08', '001_03_06', '001_02_09', '001_02_03', '001_03_05', '001_03_04', '001_02_05', '001_03_01']","['001_02_05', '001_03_04', '001_03_05', '001_01_07']",1,45197,False,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08', '001_03_06', '001_02_09', '001_02_03', '001_03_05', '001_03_04', '001_02_05', '001_03_01']","['001_01_05', '001_01_04', '001_01_06', '001_01_07']",10,79318,False,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08', '001_03_06', '001_02_09', '001_02_03', '001_03_05', '001_03_04', '001_02_05', '001_03_01', '001_01_05']","['001_02_07', '001_03_02', '001_01_03', '001_01_07']"
Student_1_0,Student_1,"['001_03_05', '001_03_04', '001_01_07', '001_01_04', '001_02_05', '001_01_06']",2,26042,True,[],[],14,36580,True,[],[],12,4562,True,[],[],15,64526,True,[],[],4,15261,True,[],[],7,88793,False,[],"['001_03_05', '001_01_04', '001_01_06', '001_01_07']",5,16549,True,"['001_03_05', '001_01_04', '001_01_06', '001_01_07']",[],8,98182,False,"['001_03_05', '001_01_04', '001_01_06', '001_01_07']","['001_02_05', '001_03_04', '001_03_05', '001_01_07']",1,38831,True,"['001_03_05', '001_01_04', '001_01_06', '001_01_07', '001_02_05', '001_03_04']",[],10,46891,True,"['001_03_05', '001_01_04', '001_01_06', '001_01_07', '001_02_05', '001_03_04']",[]
Student_2_0,Student_2,"['001_03_05', '001_03_04', '001_01_02', '001_02_07', '001_02_02', '001_03_06', '001_02_04', '001_02_09', '001_01_05', '001_01_07', '001_01_04', '001_02_05', '001_01_06', '001_02_08', '001_02_03']",2,100811,False,[],"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07']",14,43288,False,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07']","['001_02_07', '001_01_04', '001_02_08', '001_01_07']",12,41558,False,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08']","['001_03_06', '001_01_04', '001_02_09', '001_01_07']",15,33043,False,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08', '001_03_06', '001_02_09']","['001_02_02', '001_02_04', '001_01_02', '001_01_05', '001_01_07']",4,15459,False,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08', '001_03_06', '001_02_09', '001_01_05']","['001_02_03', '001_02_04', '001_01_04', '001_02_09', '001_01_07']",7,91891,False,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08', '001_03_06', '001_02_09', '001_01_05', '001_02_03']","['001_03_05', '001_01_04', '001_01_06', '001_01_07']",5,97402,True,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08', '001_03_06', '001_02_09', '001_01_05', '001_02_03', '001_03_05']",[],8,48059,False,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08', '001_03_06', '001_02_09', '001_01_05', '001_02_03', '001_03_05']","['001_02_05', '001_03_04', '001_03_05', '001_01_07']",1,48994,False,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08', '001_03_06', '001_02_09', '001_01_05', '001_02_03', '001_03_05', '001_02_05', '001_03_04']","['001_01_05', '001_01_04', '001_01_06', '001_01_07']",10,4499,True,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08', '001_03_06', '001_02_09', '001_01_05', '001_02_03', '001_03_05', '001_02_05', '001_03_04']",[]
Student_3_0,Student_3,"['001_03_05', '001_03_04', '001_01_02', '001_02_02', '001_02_04', '001_01_05', '001_01_07', '001_01_04', '001_02_05', '001_01_06']",2,41866,False,[],"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07']",14,34416,True,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07']",[],12,9065,True,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07']",[],15,104658,True,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07']",[],4,57248,True,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07']",[],7,40735,False,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07']","['001_03_05', '001_01_04', '001_01_06', '001_01_07']",5,17677,True,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_03_05', '001_01_04']",[],8,87768,False,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_03_05', '001_01_04']","['001_02_05', '001_03_04', '001_03_05', '001_01_07']",1,7492,False,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_03_05', '001_01_04', '001_02_05', '001_03_04']","['001_01_05', '001_01_04', '001_01_06', '001_01_07']",10,93133,True,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_03_05', '001_01_04', '001_02_05', '001_03_04', '001_01_05']",[]
Student_4_0,Student_4,"['001_03_05', '001_01_02', '001_02_07', '001_02_02', '001_03_06', '001_02_04', '001_02_05', '001_03_01', '001_02_09', '001_01_05', '001_01_07', '001_01_04', '001_03_04', '001_01_06', '001_02_08', '001_02_03']",2,37511,True,[],[],14,115456,False,[],"['001_02_07', '001_01_04', '001_02_08', '001_01_07']",12,111805,False,"['001_02_07', '001_01_04', '001_02_08', '001_01_07']","['001_03_06', '001_01_04', '001_02_09', '001_01_07']",15,27360,False,"['001_02_07', '001_01_04', '001_02_08', '001_01_07', '001_03_06', '001_02_09']","['001_02_02', '001_02_04', '001_01_02', '001_01_05', '001_01_07']",4,87746,False,"['001_02_07', '001_01_04', '001_02_08', '001_01_07', '001_03_06', '001_02_09', '001_02_02', '001_02_04', '001_01_02', '001_01_05']","['001_02_03', '001_02_04', '001_01_04', '001_02_09', '001_01_07']",7,4392,False,"['001_02_07', '001_01_04', '001_02_08', '001_01_07', '001_03_06', '001_02_09', '001_02_02', '001_02_04', '001_01_02', '001_01_05', '001_02_03']","['001_03_05', '001_01_04', '001_01_06', '001_01_07']",5,25453,False,"['001_02_07', '001_01_04', '001_02_08', '001_01_07', '001_03_06', '001_02_09', '001_02_02', '001_02_04', '001_01_02', '001_01_05', '001_02_03', '001_03_05', '001_01_06']","['001_03_04', '001_02_05', '001_03_01', '001_01_07']",8,62495,False,"['001_02_07', '001_01_04', '001_02_08', '001_01_07', '001_03_06', '001_02_09', '001_02_02', '001_02_04', '001_01_02', '001_01_05', '001_02_03', '001_03_05', '001_01_06', '001_03_04', '001_02_05', '001_03_01']","['001_02_05', '001_03_04', '001_03_05', '001_01_07']",1,94645,False,"['001_02_07', '001_01_04', '001_02_08', '001_01_07', '001_03_06', '001_02_09', '001_02_02', '001_02_04', '001_01_02', '001_01_05', '001_02_03', '001_03_05', '001_01_06', '001_03_04', '001_02_05', '001_03_01']","['001_01_05', '001_01_04', '001_01_06', '001_01_07']",10,75536,True,"['001_02_07', '001_01_04', '001_02_08', '001_01_07', '001_03_06', '001_02_09', '001_02_02', '001_02_04', '001_01_02', '001_01_05', '001_02_03', '001_03_05', '001_01_06', '001_03_04', '001_02_05', '001_03_01']",[]
Student_5_0,Student_5,"['001_03_02', '001_01_02', '001_01_03', '001_02_07', '001_02_02', '001_03_06', '001_02_04', '001_02_09', '001_01_05', '001_01_07', '001_01_04', '001_01_06', '001_02_08']",2,73629,False,[],"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07']",14,111325,False,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07']","['001_02_07', '001_01_04', '001_02_08', '001_01_07']",12,14928,False,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08']","['001_03_06', '001_01_04', '001_02_09', '001_01_07']",15,48928,False,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08', '001_03_06', '001_02_09']","['001_02_02', '001_02_04', '001_01_02', '001_01_05', '001_01_07']",4,74856,True,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08', '001_03_06', '001_02_09', '001_01_05']",[],7,111311,True,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08', '001_03_06', '001_02_09', '001_01_05']",[],5,65974,True,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08', '001_03_06', '001_02_09', '001_01_05']",[],8,89970,True,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08', '001_03_06', '001_02_09', '001_01_05']",[],1,59719,True,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08', '001_03_06', '001_02_09', '001_01_05']",[],10,28752,False,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08', '001_03_06', '001_02_09', '001_01_05']","['001_02_07', '001_03_02', '001_01_03', '001_01_07']"
Student_6_0,Student_6,"['001_03_05', '001_03_02', '001_01_02', '001_01_03', '001_02_07', '001_02_02', '001_03_06', '001_02_04', '001_02_05', '001_03_01', '001_02_09', '001_01_05', '001_01_07', '001_01_04', '001_03_04', '001_01_06', '001_02_08', '001_02_03']",2,102017,False,[],"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07']",14,86241,False,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07']","['001_02_07', '001_01_04', '001_02_08', '001_01_07']",12,22267,False,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08']","['001_03_06', '001_01_04', '001_02_09', '001_01_07']",15,119281,False,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08', '001_03_06', '001_02_09']","['001_02_02', '001_02_04', '001_01_02', '001_01_05', '001_01_07']",4,79640,False,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08', '001_03_06', '001_02_09', '001_01_05']","['001_02_03', '001_02_04', '001_01_04', '001_02_09', '001_01_07']",7,31249,False,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08', '001_03_06', '001_02_09', '001_01_05', '001_02_03']","['001_03_05', '001_01_04', '001_01_06', '001_01_07']",5,110701,False,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08', '001_03_06', '001_02_09', '001_01_05', '001_02_03', '001_03_05']","['001_03_04', '001_02_05', '001_03_01', '001_01_07']",8,54419,False,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08', '001_03_06', '001_02_09', '001_01_05', '001_02_03', '001_03_05', '001_03_04', '001_02_05', '001_03_01']","['001_02_05', '001_03_04', '001_03_05', '001_01_07']",1,82415,False,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08', '001_03_06', '001_02_09', '001_01_05', '001_02_03', '001_03_05', '001_03_04', '001_02_05', '001_03_01']","['001_01_05', '001_01_04', '001_01_06', '001_01_07']",10,72681,False,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08', '001_03_06', '001_02_09', '001_01_05', '001_02_03', '001_03_05', '001_03_04', '001_02_05', '001_03_01']","['001_02_07', '001_03_02', '001_01_03', '001_01_07']"
Student_7_0,Student_7,"['001_03_02', '001_01_03', '001_02_07', '001_01_07']",2,97782,True,[],[],14,18702,True,[],[],12,81947,True,[],[],15,12184,True,[],[],4,94565,True,[],[],7,13442,True,[],[],5,52384,True,[],[],8,12485,True,[],[],1,40821,True,[],[],10,13116,False,[],"['001_02_07', '001_03_02', '001_01_03', '001_01_07']"
Student_8_0,Student_8,"['001_01_02', '001_02_02', '001_02_04', '001_01_05', '001_01_07', '001_01_04', '001_01_06']",2,90077,True,[],[],14,24648,True,[],[],12,105824,True,[],[],15,102841,False,[],"['001_02_02', '001_02_04', '001_01_02', '001_01_05', '001_01_07']",4,10276,True,"['001_02_02', '001_02_04', '001_01_02', '001_01_05', '001_01_07']",[],7,43423,True,"['001_02_02', '001_02_04', '001_01_02', '001_01_05', '001_01_07']",[],5,79522,True,"['001_02_02', '001_02_04', '001_01_02', '001_01_05', '001_01_07']",[],8,75570,True,"['001_02_02', '001_02_04', '001_01_02', '001_01_05', '001_01_07']",[],1,48356,False,"['001_02_02', '001_02_04', '001_01_02', '001_01_05', '001_01_07']","['001_01_05', '001_01_04', '001_01_06', '001_01_07']",10,89307,True,"['001_02_02', '001_02_04', '001_01_02', '001_01_05', '001_01_07', '001_01_04', '001_01_06']",[]
Student_9_0,Student_9,"['001_03_05', '001_03_02', '001_01_02', '001_01_03', '001_02_07', '001_02_02', '001_03_06', '001_02_04', '001_02_09', '001_01_05', '001_01_07', '001_01_04', '001_01_06', '001_02_08', '001_02_03']",2,100687,False,[],"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07']",14,81901,False,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07']","['001_02_07', '001_01_04', '001_02_08', '001_01_07']",12,67684,False,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08']","['001_03_06', '001_01_04', '001_02_09', '001_01_07']",15,32844,False,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08', '001_03_06', '001_02_09']","['001_02_02', '001_02_04', '001_01_02', '001_01_05', '001_01_07']",4,4322,False,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08', '001_03_06', '001_02_09', '001_01_05']","['001_02_03', '001_02_04', '001_01_04', '001_02_09', '001_01_07']",7,95473,False,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08', '001_03_06', '001_02_09', '001_01_05', '001_02_03']","['001_03_05', '001_01_04', '001_01_06', '001_01_07']",5,7137,True,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08', '001_03_06', '001_02_09', '001_01_05', '001_02_03', '001_03_05']",[],8,115246,True,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08', '001_03_06', '001_02_09', '001_01_05', '001_02_03', '001_03_05']",[],1,103886,False,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08', '001_03_06', '001_02_09', '001_01_05', '001_02_03', '001_03_05']","['001_01_05', '001_01_04', '001_01_06', '001_01_07']",10,116858,False,"['001_01_02', '001_01_06', '001_02_02', '001_02_04', '001_01_07', '001_02_07', '001_01_04', '001_02_08', '001_03_06', '001_02_09', '001_01_05', '001_02_03', '001_03_05']","['001_02_07', '001_03_02', '001_01_03', '001_01_07']"
